## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin
9000,Primetime,Primetime,,,,https://www.adobe.com/marketing/primetime.html,,
9001,Primetime benefits,Primetime,,,,https://www.adobe.com/marketing/primetime/benefits.html,,
9002,Target,Target,,,,https://www.adobe.com/marketing/target.html,,
9003,Target benefits,Target,,,,https://www.adobe.com/marketing/target/benefits.html,,
9004,Target resources,Target,,,,,,
9005,Target features,Target,,,,https://www.adobe.com/marketing/target/features.html,,
9006,Ad Cloud,Ad Cloud,,,,https://www.adobe.com/advertising/adobe-advertising-cloud.html,,
9007,Ad Cloud benefits,Ad Cloud,,,,https://www.adobe.com/advertising/adobe-advertising-cloud-benefits.html,,
9008,Ad Cloud features,Ad Cloud,,,,https://www.adobe.com/advertising/adobe-advertising-cloud-features.html,,
9009,Ad Cloud resources,Ad Cloud,,,,,,
9010,Analytics,Analytics,,,,https://www.adobe.com/analytics/adobe-analytics.html,,
9011,Analytics benefits,Analytics,,,,https://www.adobe.com/analytics/adobe-analytics-benefits.html,,
9012,Analytics resources,Analytics,,,,,,
9013,Analytics features,Analytics,,,,https://www.adobe.com/analytics/adobe-analytics-features.html,,
9014,Audience Manager,AAM,,,,https://www.adobe.com/analytics/audience-manager.html,,
9015,Audience Manager resources,AAM,,,,,,
9016,Audience Manager benefits,AAM,,,,https://www.adobe.com/analytics/audience-manager/benefits.html,,
9017,Audience Manager features,AAM,,,,https://www.adobe.com/analytics/audience-manager/features.html,,
9018,Campaign,Campaign,,,,https://www.adobe.com/marketing/campaign.html,,
9019,Campaign benefits,Campaign,,,,https://www.adobe.com/marketing/campaign/benefits.html,,
9020,Campaign features,Campaign,,,,https://www.adobe.com/marketing/campaign/features.html,,
9021,AEM,AEM,,,,https://www.adobe.com/marketing/experience-manager.html,,
9022,AEM benefits,AEM,,,,https://www.adobe.com/marketing/experience-manager/benefits.html,,
9023,AEM:sites,AEM:sites,,,,https://www.adobe.com/marketing/experience-manager-sites.html,,
9025,AEM:Assets,AEM:Assets,,,,https://www.adobe.com/marketing/experience-manager-assets.html,,
9026,AEM:Forms,AEM:Forms,,,,https://www.adobe.com/marketing/experience-manager-forms.html,,
